386:36,obj_dw_teevie_watercooler_slash_Step_0_gml_181_0
386:40,obj_dw_teevie_watercooler_slash_Step_0_gml_249_0
386:40,scr_monstersetup_slash_scr_monstersetup_gml_2052_0
386:40,scr_monstersetup_slash_scr_monstersetup_gml_2058_0
387:46,obj_dw_teevie_watercooler_slash_Step_0_gml_59_0
387:46,obj_dw_teevie_watercooler_slash_Step_0_gml_60_0
387:54,obj_dw_teevie_watercooler_slash_Step_0_gml_288_0
387:54,obj_dw_teevie_watercooler_slash_Step_0_gml_289_0
387:54,obj_dw_teevie_watercooler_slash_Step_0_gml_290_0
388:45,scr_encountersetup_slash_scr_encountersetup_gml_1196_0
388:58,obj_ribbick_enemy_slash_Step_0_gml_59_0
389:0,obj_ribbick_enemy_slash_Step_0_gml_158_0
389:0,obj_ribbick_enemy_slash_Step_0_gml_155_0
389:17,obj_ribbick_enemy_slash_Step_0_gml_344_0
390:33,obj_npc_room_slash_Other_10_gml_2043_0_b
390:34,obj_npc_room_slash_Other_10_gml_2047_0
390:37,obj_npc_room_slash_Other_10_gml_2053_0
390:37,obj_npc_room_slash_Other_10_gml_2054_0_b
390:43,scr_text_slash_scr_text_gml_8849_0
390:43,scr_text_slash_scr_text_gml_8850_0
390:43,scr_text_slash_scr_text_gml_8851_0
390:43,scr_text_slash_scr_text_gml_8854_0
390:48,scr_text_slash_scr_text_gml_8862_0
390:57,obj_room_teevie_cowboy_intro_02_slash_Step_0_gml_20_0
391:29,obj_room_teevie_cowboy_after_02_slash_Step_0_gml_98_0
391:29,scr_ralface_slash_scr_ralface_gml_1_0
391:29,obj_room_teevie_cowboy_after_02_slash_Step_0_gml_100_0
391:29,obj_room_teevie_cowboy_after_02_slash_Step_0_gml_101_0
391:38,obj_npc_sign_slash_Other_10_gml_394_0
391:38,scr_ralface_slash_scr_ralface_gml_1_0
391:38,obj_npc_sign_slash_Other_10_gml_396_0
391:38,scr_susface_slash_scr_susface_gml_1_0
391:38,obj_npc_sign_slash_Other_10_gml_407_0
391:38,obj_npc_sign_slash_Other_10_gml_408_0
391:38,obj_npc_sign_slash_Other_10_gml_409_0
391:38,obj_npc_sign_slash_Other_10_gml_410_0
391:38,scr_noface_slash_scr_noface_gml_1_0
391:38,obj_npc_sign_slash_Other_10_gml_412_0
391:55,obj_darkcontroller_slash_Draw_0_gml_451_0
391:57,obj_darkcontroller_slash_Draw_0_gml_251_0
391:57,obj_darkcontroller_slash_Draw_0_gml_528_0
391:57,obj_darkcontroller_slash_Draw_0_gml_532_0
391:57,obj_darkcontroller_slash_Draw_0_gml_552_0
391:58,obj_darkcontroller_slash_Draw_0_gml_327_0
391:58,obj_darkcontroller_slash_Draw_0_gml_598_0
391:58,obj_darkcontroller_slash_Draw_0_gml_602_0
391:58,obj_darkcontroller_slash_Draw_0_gml_615_0
391:58,obj_darkcontroller_slash_Draw_0_gml_651_0
391:58,obj_darkcontroller_slash_Draw_0_gml_286_0
392:5,obj_room_teevie_cowboy_after_02_slash_Step_0_gml_223_0
392:5,obj_room_teevie_cowboy_after_02_slash_Step_0_gml_224_0
392:10,obj_room_teevie_cowboy_after_02_slash_Step_0_gml_244_0
392:10,scr_susface_slash_scr_susface_gml_1_0
392:10,obj_room_teevie_cowboy_after_02_slash_Step_0_gml_246_0
392:18,obj_room_teevie_cowboy_after_02_slash_Step_0_gml_268_0
392:20,obj_room_teevie_cowboy_after_02_slash_Step_0_gml_282_0
392:23,scr_text_slash_scr_text_gml_9131_0
392:23,scr_text_slash_scr_text_gml_9132_0
392:23,scr_text_slash_scr_text_gml_9137_0
392:26,scr_text_slash_scr_text_gml_9145_0
396:41,obj_npc_room_slash_Other_10_gml_2083_0
396:41,obj_npc_room_slash_Other_10_gml_2084_0
396:41,obj_npc_room_slash_Other_10_gml_2085_0
396:46,obj_npc_room_slash_Other_10_gml_2095_0
396:52,scr_itemnamelist_slash_scr_itemnamelist_gml_117_0
396:53,scr_itemdesc_single_slash_scr_itemdesc_single_gml_146_0
398:3,obj_npc_room_slash_Other_10_gml_2213_0
398:3,obj_npc_room_slash_Other_10_gml_2218_0
398:3,obj_npc_room_slash_Other_10_gml_2219_0
398:16,obj_room_teevie_stealth_c_slash_Step_0_gml_40_0
398:16,obj_room_teevie_stealth_c_slash_Step_0_gml_41_0
398:16,obj_room_teevie_stealth_c_slash_Step_0_gml_42_0
398:16,obj_room_teevie_stealth_c_slash_Step_0_gml_65_0
398:16,obj_room_teevie_stealth_c_slash_Step_0_gml_89_0
398:16,obj_room_teevie_stealth_c_slash_Step_0_gml_112_0
398:16,obj_room_teevie_stealth_c_slash_Step_0_gml_113_0
398:58,obj_savepoint_slash_Other_10_gml_148_0
398:58,obj_savepoint_slash_Other_10_gml_149_0
399:1,scr_roomname_slash_scr_roomname_gml_9_0
