408:47,obj_room_teevie_chef_slash_Step_0_gml_68_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_269_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_271_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_273_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_274_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_276_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_300_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_301_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_303_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_304_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_323_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_324_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_325_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_326_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_327_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_348_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_364_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_379_0
408:50,obj_room_teevie_chef_slash_Step_0_gml_380_0
408:56,scr_rurusface_slash_scr_rurusface_gml_1_0
408:56,scr_ralface_slash_scr_ralface_gml_1_0
408:56,scr_rurusface_slash_scr_rurusface_gml_1_0
409:7,scr_ralface_slash_scr_ralface_gml_1_0
409:44,obj_room_teevie_chef_slash_Step_0_gml_488_0
409:44,obj_room_teevie_chef_slash_Step_0_gml_490_0
409:44,obj_room_teevie_chef_slash_Step_0_gml_492_0
409:44,obj_room_teevie_chef_slash_Step_0_gml_493_0
409:44,obj_room_teevie_chef_slash_Step_0_gml_494_0
409:44,scr_rurusface_slash_scr_rurusface_gml_1_0
409:44,scr_noface_slash_scr_noface_gml_1_0
409:44,scr_rurusface_slash_scr_rurusface_gml_1_0
409:54,scr_text_slash_scr_text_gml_10169_0
409:54,scr_text_slash_scr_text_gml_10170_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_514_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_515_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_516_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_517_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_518_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_519_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_521_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_523_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_524_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_525_0
409:56,obj_room_teevie_chef_slash_Step_0_gml_527_0
409:56,scr_noface_slash_scr_noface_gml_1_0
409:56,scr_rurusface_slash_scr_rurusface_gml_1_0
409:56,scr_noface_slash_scr_noface_gml_1_0
410:19,scr_rurusface_slash_scr_rurusface_gml_1_0
410:19,scr_noface_slash_scr_noface_gml_1_0
410:19,scr_rurusface_slash_scr_rurusface_gml_1_0
410:24,obj_room_teevie_chef_slash_Step_0_gml_547_0
410:24,obj_room_teevie_chef_slash_Step_0_gml_548_0
410:24,obj_room_teevie_chef_slash_Step_0_gml_549_0
410:29,scr_text_slash_scr_text_gml_10191_0
410:29,scr_text_slash_scr_text_gml_10192_0
410:31,obj_room_teevie_chef_slash_Step_0_gml_569_0
410:31,obj_room_teevie_chef_slash_Step_0_gml_570_0
410:31,obj_room_teevie_chef_slash_Step_0_gml_571_0
410:31,obj_room_teevie_chef_slash_Step_0_gml_572_0
410:31,obj_room_teevie_chef_slash_Step_0_gml_573_0
410:31,obj_room_teevie_chef_slash_Step_0_gml_574_0
410:31,obj_room_teevie_chef_slash_Step_0_gml_575_0
410:31,obj_room_teevie_chef_slash_Step_0_gml_576_0
410:52,obj_room_teevie_chef_slash_Step_0_gml_581_0
410:52,obj_room_teevie_chef_slash_Step_0_gml_582_0
410:52,obj_room_teevie_chef_slash_Step_0_gml_583_0
410:57,obj_room_teevie_chef_slash_Step_0_gml_435_0
410:57,obj_room_teevie_chef_slash_Step_0_gml_437_0
410:57,obj_room_teevie_chef_slash_Step_0_gml_439_0
410:57,obj_room_teevie_chef_slash_Step_0_gml_440_0
410:57,scr_rurusface_slash_scr_rurusface_gml_1_0
410:57,scr_noface_slash_scr_noface_gml_1_0
411:3,scr_text_slash_scr_text_gml_10147_0
411:3,scr_text_slash_scr_text_gml_10148_0
411:4,obj_room_teevie_chef_slash_Step_0_gml_460_0
411:4,obj_room_teevie_chef_slash_Step_0_gml_461_0
411:4,obj_room_teevie_chef_slash_Step_0_gml_462_0
411:4,obj_room_teevie_chef_slash_Step_0_gml_463_0
411:12,scr_rurusface_slash_scr_rurusface_gml_1_0
411:12,scr_noface_slash_scr_noface_gml_1_0
411:14,obj_room_teevie_chef_slash_Step_0_gml_468_0
