759:1,obj_dw_church_waterfallroom_slash_Step_0_gml_108_0
759:54,obj_dw_church_waterfallroom_slash_Step_0_gml_217_0
759:54,obj_dw_church_waterfallroom_slash_Step_0_gml_218_0
760:1,obj_dw_church_waterfallroom_slash_Step_0_gml_258_0
760:1,obj_dw_church_waterfallroom_slash_Step_0_gml_259_0
760:51,obj_dw_church_waterfallroom_slash_Step_0_gml_293_0
760:54,obj_dw_church_waterfalltearoom_slash_Step_0_gml_81_0
760:54,obj_dw_church_waterfalltearoom_slash_Step_0_gml_83_0
760:54,obj_dw_church_waterfalltearoom_slash_Step_0_gml_124_0
760:54,obj_dw_church_waterfalltearoom_slash_Step_0_gml_125_0
760:54,obj_dw_church_waterfalltearoom_slash_Step_0_gml_127_0
760:55,scr_susface_slash_scr_susface_gml_1_0
761:3,scr_susface_slash_scr_susface_gml_1_0
761:20,scr_text_slash_scr_text_gml_10685_0
761:20,scr_text_slash_scr_text_gml_10686_0
761:20,scr_text_slash_scr_text_gml_10687_0
761:20,scr_text_slash_scr_text_gml_10693_0
761:20,scr_noface_slash_scr_noface_gml_1_0
761:23,obj_dw_church_waterfalltearoom_slash_Step_0_gml_215_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_480_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_482_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_508_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_510_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_511_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_513_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_515_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_553_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_567_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_578_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_580_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_581_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_583_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_662_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_684_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_693_0
761:25,obj_dw_church_waterfalltearoom_slash_Step_0_gml_695_0
761:31,scr_susface_slash_scr_susface_gml_1_0
761:38,scr_susface_slash_scr_susface_gml_1_0
761:38,scr_ralface_slash_scr_ralface_gml_1_0
761:38,scr_susface_slash_scr_susface_gml_1_0
762:3,scr_ralface_slash_scr_ralface_gml_1_0
762:3,scr_susface_slash_scr_susface_gml_1_0
762:28,scr_susface_slash_scr_susface_gml_1_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_745_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_746_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_747_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_748_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_770_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_772_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_773_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_794_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_860_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_862_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_891_0
762:35,obj_dw_church_waterfalltearoom_slash_Step_0_gml_892_0
762:48,scr_ralface_slash_scr_ralface_gml_1_0
763:3,scr_ralface_slash_scr_ralface_gml_1_0
763:15,scr_text_slash_scr_text_gml_10709_0
763:15,scr_text_slash_scr_text_gml_10710_0
763:15,scr_text_slash_scr_text_gml_10715_0
763:15,scr_text_slash_scr_text_gml_10716_0
763:21,obj_dw_church_waterfalltearoom_slash_Step_0_gml_947_0
763:21,obj_dw_church_waterfalltearoom_slash_Step_0_gml_948_0
763:21,obj_dw_church_waterfalltearoom_slash_Step_0_gml_949_0
763:21,obj_dw_church_waterfalltearoom_slash_Step_0_gml_956_0
763:21,obj_dw_church_waterfalltearoom_slash_Step_0_gml_957_0
763:21,obj_dw_church_waterfalltearoom_slash_Step_0_gml_964_0
763:21,obj_dw_church_waterfalltearoom_slash_Step_0_gml_965_0
763:21,obj_dw_church_waterfalltearoom_slash_Step_0_gml_966_0
763:21,obj_dw_church_waterfalltearoom_slash_Step_0_gml_967_0
763:47,obj_dw_church_waterfalltearoom_slash_Step_0_gml_1153_0
763:47,obj_dw_church_waterfalltearoom_slash_Step_0_gml_1184_0
