815:56,obj_dw_church_organpuzzle_slash_Step_0_gml_12_0
816:15,obj_dw_church_organpuzzle_slash_Step_0_gml_16_0
816:48,obj_dw_church_organpuzzle_slash_Step_0_gml_20_0
816:48,scr_susface_slash_scr_susface_gml_1_0
816:48,obj_dw_church_organpuzzle_slash_Step_0_gml_22_0
816:48,scr_ralface_slash_scr_ralface_gml_1_0
816:48,obj_dw_church_organpuzzle_slash_Step_0_gml_24_0
816:48,scr_susface_slash_scr_susface_gml_1_0
816:48,obj_dw_church_organpuzzle_slash_Step_0_gml_26_0
832:23,obj_dw_church_organpuzzle_slash_Step_0_gml_50_0
832:23,obj_dw_church_organpuzzle_slash_Step_0_gml_51_0
834:46,obj_dw_church_organpuzzle_slash_Step_0_gml_30_0
834:46,scr_susface_slash_scr_susface_gml_1_0
834:46,obj_dw_church_organpuzzle_slash_Step_0_gml_32_0
835:59,obj_dw_church_organpuzzle_slash_Step_0_gml_55_0
835:59,scr_ralface_slash_scr_ralface_gml_1_0
835:59,obj_dw_church_organpuzzle_slash_Step_0_gml_57_0
836:9,scr_ralface_slash_scr_ralface_gml_1_0
837:45,obj_dw_church_organpuzzle_slash_Step_0_gml_61_0
837:45,scr_susface_slash_scr_susface_gml_1_0
837:45,obj_dw_church_organpuzzle_slash_Step_0_gml_63_0
837:45,obj_dw_church_organpuzzle_slash_Step_0_gml_64_0
840:16,obj_dw_church_organpuzzle_slash_Step_0_gml_70_0
843:2,obj_dw_church_organpuzzle_slash_Step_0_gml_74_0
844:25,obj_dw_church_organpuzzle_slash_Step_0_gml_78_0
844:25,scr_ralface_slash_scr_ralface_gml_1_0
844:25,obj_dw_church_organpuzzle_slash_Step_0_gml_80_0
844:25,scr_susface_slash_scr_susface_gml_1_0
844:25,obj_dw_church_organpuzzle_slash_Step_0_gml_82_0
844:25,scr_ralface_slash_scr_ralface_gml_1_0
844:25,obj_dw_church_organpuzzle_slash_Step_0_gml_84_0
851:32,obj_dw_church_organpuzzle_slash_Step_0_gml_104_0
851:32,obj_dw_church_organpuzzle_slash_Step_0_gml_105_0
851:32,scr_ralface_slash_scr_ralface_gml_1_0
851:32,obj_dw_church_organpuzzle_slash_Step_0_gml_107_0
851:32,scr_susface_slash_scr_susface_gml_1_0
851:32,obj_dw_church_organpuzzle_slash_Step_0_gml_109_0
854:54,obj_dw_church_organpuzzle_slash_Step_0_gml_113_0
854:54,scr_susface_slash_scr_susface_gml_1_0
854:54,obj_dw_church_organpuzzle_slash_Step_0_gml_115_0
854:54,obj_dw_church_organpuzzle_slash_Step_0_gml_116_0
854:54,scr_ralface_slash_scr_ralface_gml_1_0
854:54,obj_dw_church_organpuzzle_slash_Step_0_gml_118_0
867:20,scr_susface_slash_scr_susface_gml_1_0
867:20,scr_ralface_slash_scr_ralface_gml_1_0
867:20,scr_susface_slash_scr_susface_gml_1_0
915:49,obj_dw_church_organpuzzle_slash_Step_0_gml_36_0
915:49,scr_susface_slash_scr_susface_gml_1_0
915:49,obj_dw_church_organpuzzle_slash_Step_0_gml_38_0
916:27,scr_susface_slash_scr_susface_gml_1_0
917:13,obj_dw_church_organpuzzle_slash_Step_0_gml_42_0
917:13,scr_ralface_slash_scr_ralface_gml_1_0
917:13,obj_dw_church_organpuzzle_slash_Step_0_gml_44_0
917:13,scr_susface_slash_scr_susface_gml_1_0
917:13,obj_dw_church_organpuzzle_slash_Step_0_gml_46_0
