510:34,obj_room_castle_tv_zone_1_slash_Step_0_gml_22_0
510:42,obj_room_castle_tv_zone_1_slash_Step_0_gml_37_0
510:42,obj_room_castle_tv_zone_1_slash_Step_0_gml_38_0
510:42,scr_susface_slash_scr_susface_gml_1_0
510:42,obj_room_castle_tv_zone_1_slash_Step_0_gml_40_0
510:42,obj_room_castle_tv_zone_1_slash_Step_0_gml_41_0
510:42,scr_ralface_slash_scr_ralface_gml_1_0
510:42,obj_room_castle_tv_zone_1_slash_Step_0_gml_43_0
510:58,obj_room_castle_tv_zone_1_slash_Step_0_gml_57_0
510:58,obj_room_castle_tv_zone_1_slash_Step_0_gml_58_0
510:58,obj_room_castle_tv_zone_1_slash_Step_0_gml_63_0
511:9,obj_room_castle_tv_zone_2_slash_Step_0_gml_14_0
511:9,obj_room_castle_tv_zone_2_slash_Step_0_gml_15_0
511:9,obj_room_castle_tv_zone_2_slash_Step_0_gml_20_0
511:12,obj_room_castle_tv_zone_2_slash_Step_0_gml_35_0
511:17,obj_room_castle_tv_zone_3_slash_Step_0_gml_21_0
511:27,obj_room_castle_tv_zone_3_slash_Step_0_gml_34_0
511:32,obj_room_castle_tv_zone_3_slash_Step_0_gml_48_0
511:32,obj_room_castle_tv_zone_3_slash_Step_0_gml_49_0
511:32,obj_room_castle_tv_zone_3_slash_Step_0_gml_54_0
511:34,obj_room_castle_tv_zone_3_slash_Step_0_gml_324_0
511:34,obj_room_castle_tv_zone_3_slash_Step_0_gml_325_0
511:34,obj_room_castle_tv_zone_3_slash_Step_0_gml_392_0
512:46,obj_treasure_room_slash_Other_10_gml_14_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_86_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_87_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_199_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_200_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_284_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_285_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_249_0
512:46,scr_iteminfo_slash_scr_iteminfo_gml_250_0
