580:57,obj_npc_room_animated_slash_Other_10_gml_91_0
581:1,obj_npc_room_slash_Other_10_gml_759_0
581:1,obj_npc_room_slash_Other_10_gml_760_0
581:7,obj_npc_room_slash_Other_10_gml_764_0
581:8,obj_npc_room_slash_Other_10_gml_773_0
581:11,obj_npc_room_slash_Other_10_gml_777_0
581:13,obj_npc_room_slash_Other_10_gml_730_0
581:15,obj_npc_room_slash_Other_10_gml_734_0_b
581:18,obj_npc_room_slash_Other_10_gml_786_0
581:21,obj_npc_room_slash_Other_10_gml_790_0
581:21,obj_npc_room_slash_Other_10_gml_791_0
581:28,scr_text_slash_scr_text_gml_7902_0_b
581:28,scr_text_slash_scr_text_gml_7903_0
581:28,scr_text_slash_scr_text_gml_7907_0
581:28,scr_text_slash_scr_text_gml_7908_0_b
581:33,scr_text_slash_scr_text_gml_7927_0_b
581:35,obj_ch4_PDC05A_slash_Step_0_gml_195_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_196_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_197_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_198_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_199_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_200_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_201_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_202_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_203_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_204_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_205_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_206_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_207_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_283_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_284_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_304_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_306_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_329_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_330_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_331_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_360_0
581:35,obj_ch4_PDC05A_slash_Step_0_gml_361_0
582:16,scr_noface_slash_scr_noface_gml_1_0
582:31,scr_text_slash_scr_text_gml_7950_0
582:31,scr_text_slash_scr_text_gml_7951_0
582:31,scr_text_slash_scr_text_gml_7955_0
582:31,scr_noface_slash_scr_noface_gml_1_0
582:34,obj_ch4_PDC05A_slash_Step_0_gml_394_0
582:36,obj_ch4_PDC05A_slash_Step_0_gml_428_0
582:36,obj_ch4_PDC05A_slash_Step_0_gml_429_0
582:41,scr_text_slash_scr_text_gml_7981_0_b
582:41,scr_text_slash_scr_text_gml_7982_0
582:41,scr_text_slash_scr_text_gml_7986_0
582:41,scr_noface_slash_scr_noface_gml_1_0
582:46,obj_ch4_PDC05A_slash_Step_0_gml_450_0
582:46,obj_ch4_PDC05A_slash_Step_0_gml_451_0
582:46,obj_ch4_PDC05A_slash_Step_0_gml_462_0
582:46,obj_ch4_PDC05A_slash_Step_0_gml_473_0
582:55,scr_text_slash_scr_text_gml_8014_0
582:55,scr_text_slash_scr_text_gml_8015_0
582:55,scr_text_slash_scr_text_gml_8019_0
582:55,scr_noface_slash_scr_noface_gml_1_0
582:59,scr_text_slash_scr_text_gml_8033_0
582:59,scr_text_slash_scr_text_gml_8034_0
582:59,scr_text_slash_scr_text_gml_8035_0
583:4,obj_ch4_PDC05A_slash_Step_0_gml_493_0
583:4,obj_ch4_PDC05A_slash_Step_0_gml_494_0
583:9,scr_text_slash_scr_text_gml_8047_0
583:9,scr_text_slash_scr_text_gml_8048_0
583:13,obj_ch4_PDC05A_slash_Step_0_gml_514_0
583:13,obj_ch4_PDC05A_slash_Step_0_gml_515_0
583:13,obj_ch4_PDC05A_slash_Step_0_gml_544_0
